"id","FDI_code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"1","ABW",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414870200281,0.10341806765531,0.103414930888278,0.103451895358128,0.103467414895742,0.103403978186383,0.103409428405051,0.10339362117261,0.103412976641251,0.103438885158729,0.103471154928493,0.103447020529115,0.103548321074319,0.103377957787584,0.103338191969271,0.103509690052268,0.103460270474204,0.10338431903987,0.103355108675953,0.103477590644209,0.103279805902431,0.103419961232329,0.10341152218407,0.103467990285396,0.103554218818273,0.103324526464987,0.10347932302992,0.103486259928228,0.103406326290346,0.103422441284655,0.10346103921991,0.103453333366591,0.103392803685592
"2","AFG",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414624764999,0.103414687706234,0.103414601877278,0.10341463620886,0.10341463620886,0.10341463620886,0.10341457040666,0.103414490299634,0.103414490299634,0.103414902278626,0.103417133831501,0.103414610460173,0.103414587572452,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414673401408,0.103414558962799,0.103414558962799,0.10341455896566,0.103414478855773,0.103414661957547,0.103414553240869,0.10341456468473,0.103414532262365,0.1034147563694,0.103414141261877,0.103414556101834,0.103416286985795,0.103414607599208,0.103414753508435,0.103428863788921,0.103431095341796,0.103468030402841,0.103492091120377,0.103482649935137,0.103468542515616,0.103427729055728,0.103430611050906,0.103469138864357,0.103429485597111,0.103430816014317,0.103428380670884,0.103426854035951,0.103462951219128,0.103441335112636,0.103429302631451,0.1034487289312,0.103421254924207
"3","AGO",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103415245594453,0.103415091102331,0.103415176931288,0.103416716130578,0.103416472948534,0.103414573267625,0.103414224229868,0.103414224229868,0.103415093963296,0.103415131155844,0.103425264694669,0.103428591997224,0.103447691801062,0.103444407412984,0.103433767483315,0.103494093796034,0.103481505549047,0.103448604448968,0.103452037607237,0.103471778267285,0.103318773847091,0.103604670101952,0.103496942173011,0.103500988722225,0.103463281200569,0.1035497186846,0.103466216264792,0.103532333457222,0.103733261905888,0.104121635074118,0.103665929089334,0.104028370468772,0.103913369394038,0.104437918149878,0.104043178201082,0.103041535751314,0.103403768872509,0.103158976879774,0.103894906730017,0.104045487103013,0.102491265066361,0.102549468604856,0.102995533987958,0.101377546738038,0.104460961189896,0.106283596446985,0.103363199596312,0.101298218470862,0.10156749795248,0.102241998445857
"4","ALB",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103420280893248,0.1034311525611,0.103429722078488,0.103434585719369,0.10344033625947,0.103428148547615,0.103427436167274,0.103426346139523,0.103455470765506,0.103473866771899,0.103453181993327,0.103465494557896,0.103512199446653,0.103489653295525,0.103507579904545,0.103601172744689,0.103771373314097,0.103799477582369,0.103726375049786,0.103714590297582,0.103677194018543,0.103773367075332,0.103743549360572,0.103697673883063,0.103713355182504,0.103707166428993,0.103759128854796,0.10375816722455
"5","AND",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799
"6","ARB",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103554691900449,0.103428249463763,0.10349122643478,0.103216725997366,0.102442064639937,0.103836541051269,0.103530868138159,0.103679035281816,0.103597239428872,0.103375243423691,0.10249570757208,0.1054479349154,0.106789921787574,0.105027519906586,0.105203798463589,0.103993184821106,0.104082284750789,0.10341805407724,0.103880537651511,0.103790155297301,0.104288250731477,0.104022119714953,0.104409487379141,0.104653798317137,0.104819260886334,0.103500355157406,0.104462443382028,0.105981830319111,0.106172929794962,0.104238966072761,0.104513310083595,0.105960702767465,0.105176792342309,0.107590305476713,0.109528492127812,0.116588975144754,0.123292924107056,0.126827728103162,0.128806000781146,0.12534514401093,0.123441691948868,0.116251147069091,0.117742245308065,0.115218648367195,0.112295780040104,0.110712169247389,0.112736255806649,0.112015602597976,0.113073914350907,0.113000832776439
"7","ARE",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103416784793744,0.103416544472665,0.10341756583725,0.103415534551941,0.103415025300131,0.103419122202332,0.103428700713903,0.103446670436477,0.103425751058757,0.103433035076218,0.103442493427249,0.103409712487709,0.103441755298221,0.103427587798431,0.103463264034777,0.103351343075204,0.103446089660536,0.103427925392327,0.103468599734921,0.103425656646904,0.103381423263572,0.103421980306591,0.103451671403689,0.10352937521918,0.10343242855159,0.103528954657292,0.103500536689719,0.103481056377507,0.103488274592768,0.103132656615391,0.103269699710599,0.10375325146991,0.103441823961387,0.104632173297868,0.106276525524902,0.106532991581661,0.107078308302422,0.107473273413029,0.10486305764652,0.103739074853711,0.105931284165542,0.105460748706571,0.106151544645596,0.106208267050861,0.106582087202148,0.105860942244701,0.106162451116776,0.106376866155538,0.106385753171814,0.107359105021336
"8","ARG",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103440241847618,0.103450512712773,0.103435077805388,0.103443240139173,0.103419685812481,0.103430463068481,0.103484561059907,0.103455756862029,0.103486083093406,0.103473494846419,0.103608532405005,0.103654021752071,0.10347950287339,0.103467486819448,0.10349123283081,0.10367748166691,0.103578778366673,0.103409123128873,0.103742711674024,0.103708666187855,0.103939832177976,0.104112348381,0.104682246223107,0.104213650985471,0.104454500332431,0.105019395491382,0.105402511144809,0.106035280941493,0.105500390614499,0.110277355480921,0.106395202464784,0.104034283176897,0.104029354640809,0.103887193278815,0.104594624149821,0.10492092867751,0.1049987749079,0.105266506887669,0.10619700589184,0.104563854161247,0.106656810351471,0.106515825509426,0.107798683166311,0.106224502264877,0.104863733846284,0.106778766256673,0.104347280643523,0.106709492976438,0.106811341965296,0.105320837861748
"9","ARM",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103415245594453,0.103414787840017,0.103416847734979,0.103421802926747,0.103419585678698,0.103429418816174,0.103481040642198,0.103449472465817,0.103444366930326,0.103434548097677,0.103446237093402,0.103449706776781,0.103485265031441,0.103498120095383,0.103548032143284,0.10360557747485,0.103684557709217,0.103632003977097,0.103565995972195,0.103601442863507,0.103556644995902,0.103513574793274,0.103530879631048,0.103467237339366,0.103510038903383,0.103486350625194,0.103487269296381,0.103487249580931
"10","ASM",0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799,0.103414558962799
